"STATION","NAME","DATE","AWND","PRCP"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1989-08","11.9","5.92"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1989-09","11.9","4.61"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1989-10","12.5","5.72"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1989-11","14.3","4.13"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1989-12","14.3","0.81"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1990-01","13.6","3.78"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1990-02","15.7","3.60"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1990-03","13.9","1.71"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1990-04","14.5","5.94"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1990-05","13.4","6.53"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1990-06","12.3","0.69"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1990-07","11.6","4.08"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1990-08","11.2","6.57"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1990-09","11.9","1.67"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1990-10","13.6","7.36"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1990-11","15.0","1.39"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1990-12","14.3","3.19"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1991-01","13.0","3.25"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1991-02","12.8","1.58"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1991-03","14.3","4.33"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1991-04","13.0","4.85"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1991-05","12.3","0.93"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1991-06","12.1","2.89"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1991-07","11.0","1.95"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1991-08","12.3","5.27"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1991-09","11.2","6.32"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1991-10","12.5","4.27"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1991-11","11.9","4.06"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1991-12","13.9","2.59"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1992-01","13.4","3.11"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1992-02","13.6","2.28"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1992-03","13.2","3.59"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1992-04","13.0","2.34"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1992-05","11.2","1.41"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1992-06","11.6","4.61"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1992-07","10.7","2.67"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1992-08","11.2","4.26"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1992-09","11.0","3.46"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1992-10","11.2","1.63"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1992-11","11.0","6.14"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1992-12","13.4","8.26"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1993-01","11.2","2.17"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1993-02","14.3","4.95"
